 Chateaux La Henriere [ -72 | -1 ]
 Castle 58523 [ -73 | 0 ]
 Castle 58620 [ -73 | -1 ]
 Castle 58642 [ -72 | 0 ]
 Castle 58826 [ -73 | -2 ]
 Castle 58862 [ -72 | -2 ]
 Castle 58916 [ -71 | 0 ]
 Castle 58926 [ -71 | -1 ]
 Castle 58953 [ -71 | -2 ]
 Castle 58968 [ -72 | -3 ]
 Castle 58970 [ -71 | -3 ]
 Castle 58987 [ -70 | 0 ]
 Castle 59007 [ -70 | -1 ]
 Castle 59029 [ -70 | -2 ]
 Castle 59031 [ -70 | -3 ]
 Castle 59040 [ -74 | 1 ]
 Castle 59164 [ -72 | 1 ]
 Castle 59165 [ -71 | 1 ]
 Castle 59166 [ -74 | 0 ]
 Castle 59207 [ -74 | -1 ]
 Castle 59243 [ -73 | 1 ]
 Castle 59267 [ -70 | 1 ]
 Castle 59326 [ -74 | -2 ]
 Castle 59334 [ -73 | -3 ]
 Castle 59401 [ -70 | -4 ]
