 amstaff1 [ -73 | -6 ]
 amstaff2 [ -74 | -6 ]
 amstaff3 [ -73 | -7 ]
 amstaff4 [ -74 | -5 ]
 amstaff5 [ -74 | -7 ]
 amstaff6 [ -72 | -7 ]
 amstaff7 [ -71 | -6 ]
 amstaff8 [ -71 | -7 ]
 amstaff9 [ -73 | -4 ]
 amstaff10 [ -74 | -4 ]
 amstaff11 [ -72 | -4 ]
 amstaff12 [ -74 | -3 ]
 amstaff13 [ -75 | -4 ]
 amstaff14 [ -76 | -4 ]
 amstaff15 [ -75 | -5 ]
 amstaff16 [ -77 | -4 ]
 amstaff17 [ -76 | -5 ]
 amstaff18 [ -77 | -5 ]
 amstaff19 [ -75 | -6 ]
 amstaff20 [ -73 | -8 ]
 amstaff21 [ -76 | -6 ]
 amstaff22 [ -75 | -7 ]
 amstaff23 [ -72 | -6 ]
 amstaff24 [ -77 | -6 ]
 amstaff25 [ -76 | -7 ]
