 commanderie 1 [ -86 | -2 ]
 commanderie 2 [ -87 | -2 ]
 commanderie 3 [ -87 | -3 ]
 commanderie 4 [ -86 | -3 ]
 commanderie 5 [ -85 | -3 ]
 commanderie 6 [ -85 | -2 ]
 commanderie 7 [ -85 | -1 ]
 commanderie 8 [ -86 | -1 ]
 commanderie 9 [ -87 | -1 ]
 commanderie 10 [ -85 | 0 ]
 commanderie 11 [ -86 | 0 ]
 commanderie 12 [ -87 | 0 ]
 comaanderie 13 [ -87 | -4 ]
 commanderie 14 [ -86 | -4 ]
 commanderie 15 [ -85 | -4 ]
 commanderie 16 [ -84 | -4 ]
 commanderie 17 [ -84 | -3 ]
 commanderie 18 [ -84 | -2 ]
 commanderie 19 [ -84 | -1 ]
 commanderie 20 [ -84 | 0 ]
 commanderie 21 [ -87 | 1 ]
 commanderie 22 [ -88 | 1 ]
 commanderie 23 [ -88 | 0 ]
 commanderie 24 [ -88 | -1 ]
 commanderie 25 [ -88 | -2 ]
