 spelvan [ -83 | 4 ]
 Castle 58758 [ -83 | 5 ]
 Castle 58759 [ -82 | 4 ]
 Castle 58761 [ -82 | 5 ]
 Castle 58763 [ -83 | 6 ]
 Castle 58764 [ -81 | 4 ]
 Castle 58765 [ -82 | 6 ]
 Castle 58766 [ -81 | 5 ]
 Castle 58768 [ -81 | 6 ]
 Castle 58769 [ -80 | 4 ]
 Castle 58770 [ -80 | 5 ]
 Castle 59092 [ -82 | 7 ]
 Castle 59093 [ -81 | 7 ]
 Castle 59094 [ -80 | 6 ]
 Castle 59095 [ -80 | 7 ]
 Castle 59250 [ -79 | 5 ]
 Castle 59252 [ -79 | 6 ]
 Castle 59253 [ -79 | 7 ]
 Castle 59254 [ -78 | 5 ]
 Castle 59255 [ -78 | 6 ]
 Castle 59256 [ -77 | 5 ]
 Castle 59258 [ -77 | 6 ]
 Castle 59260 [ -76 | 5 ]
 Castle 59261 [ -76 | 6 ]
 Castle 59361 [ -83 | 3 ]
