 Guépard-8 [ -77 | 9 ]
 Guépard-1 [ -104 | 98 ]
 Guépard-2 [ -105 | 98 ]
 Guépard-3 [ -77 | 8 ]
 Guépard-4 [ -76 | 9 ]
 Guépard-5 [ -78 | 9 ]
 Guépard-6 [ -78 | 8 ]
 Guépard-7 [ -77 | 10 ]
 Guépard-9 [ -76 | 10 ]
 Guépard-10 [ -78 | 10 ]
 Guépard-11 [ -104 | 99 ]
 Guépard-12 [ -105 | 99 ]
 Guépard-13 [ -106 | 98 ]
 Guépard-14 [ -76 | 8 ]
 Guépard-15 [ -76 | 11 ]
 Guépard-16 [ -77 | 11 ]
 Guépard-17 [ -106 | 99 ]
 Guépard-18 [ -78 | 11 ]
 Guépard-19 [ -75 | 10 ]
 Guépard-20 [ -75 | 9 ]
 Castle 59410 [ -75 | 11 ]
 Castle 59441 [ -75 | 8 ]
