Viking II [ -65 | 42 ] 

Viking 2 [ -64 | 42 ] 

Viking 22 [ -63 | 42 ] 

Viking 222 [ -63 | 40 ] 

Viking 3 [ -58 | -2 ] 

Viking 33 [ -61 | -5 ] 

Viking 333 [ -60 | 20 ] 

VIking 4 [ -59 | 0 ] 

Viking 44 [ -59 | 2 ] 

Viking 444 [ -58 | 1 ] 

Viking 5 [ -29 | 0 ] 

Viking 55 [ -30 | -2 ] 

Viking 555 [ -28 | -1 ] 

Groenland [ -65 | 41 ] 

Islande [ -64 | 41 ] 

Alaska [ -65 | 43 ] 

Viking 8 [ 11 | 18 ] 

Viking 88 [ 11 | 17 ] 

Russie [ -65 | 40 ] 

Viking 9 [ -61 | 28 ] 

Viking 99 [ -60 | 27 ] 

Castillo [ 13 | -14 ] 

Castelo [ 13 | -15 ] 

Castle [ 17 | -18 ] 

Château [ 18 | -18 ] 

